# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	-1.144630e-11	3.267139e+02	1.153525e-06	5.767512e-07	5.767741e-07
0.01          	-1.041412e-08	6.201855e+00	-6.498181e-07	-3.353232e-07	-3.144950e-07
0.015         	5.791721e-08	7.848966e+00	5.317662e-07	3.238003e-07	2.079659e-07
0.02          	7.627121e-08	6.450553e+00	-2.672538e-07	-5.735570e-08	-2.098981e-07
0.025         	7.118547e-08	5.774727e+00	-2.797159e-07	-6.867246e-08	-2.110434e-07
0.03          	5.597473e-08	5.219096e+00	-2.821559e-07	-8.510323e-08	-1.970527e-07
0.035         	3.739441e-08	4.762488e+00	-1.943738e-07	-5.979248e-08	-1.345813e-07
0.04          	1.875054e-08	4.385501e+00	-1.257233e-07	-4.411112e-08	-8.161219e-08
0.045         	1.598735e-09	4.072068e+00	-7.871549e-08	-3.775901e-08	-4.095648e-08
0.05          	-1.340142e-08	3.809365e+00	-2.206435e-08	-2.443359e-08	2.369244e-09
0.055         	-2.900663e-08	3.587245e+00	7.550258e-08	8.744658e-09	6.675792e-08
0.06          	-3.983331e-08	3.397752e+00	2.127481e-07	6.654073e-08	1.462073e-07
0.065         	-4.669805e-08	3.234717e+00	3.393456e-07	1.229748e-07	2.163709e-07
0.07          	-5.035282e-08	3.093270e+00	4.388118e-07	1.690531e-07	2.697587e-07
0.075         	-5.143680e-08	2.969492e+00	4.858267e-07	1.914765e-07	2.943501e-07
0.08          	-5.046950e-08	2.860343e+00	4.405111e-07	1.697860e-07	2.707250e-07
0.085         	-4.788587e-08	2.763443e+00	4.742682e-07	1.892482e-07	2.850200e-07
0.09          	-4.406774e-08	2.676796e+00	5.070141e-07	2.094393e-07	2.975748e-07
0.095         	-5.431434e-08	2.598865e+00	4.993177e-07	1.953445e-07	3.039732e-07
0.1           	-5.832588e-08	2.528425e+00	5.005087e-07	1.919285e-07	3.085802e-07
0.105         	-5.743807e-08	2.464375e+00	7.002717e-07	2.926978e-07	4.075739e-07
0.11          	-5.273827e-08	2.405868e+00	5.617077e-07	2.281156e-07	3.335921e-07
0.115         	-4.511595e-08	2.352285e+00	5.307057e-07	2.202369e-07	3.104688e-07
0.12          	-3.535903e-08	2.302922e+00	6.172923e-07	2.732871e-07	3.440052e-07
0.125         	-2.407380e-08	2.257305e+00	5.460122e-07	2.489323e-07	2.970799e-07
0.13          	-1.173560e-08	2.215082e+00	3.947176e-07	1.856232e-07	2.090944e-07
0.135         	1.232262e-09	2.175849e+00	5.207193e-07	2.615919e-07	2.591274e-07
0.14          	1.449813e-08	2.139272e+00	4.607613e-07	2.448788e-07	2.158825e-07
0.145         	2.782574e-08	2.105118e+00	4.330183e-07	2.443349e-07	1.886834e-07
0.15          	4.101239e-08	2.073159e+00	4.137929e-07	2.479088e-07	1.658841e-07
0.155         	5.391143e-08	2.043218e+00	3.773370e-07	2.425800e-07	1.347571e-07
0.16          	6.639745e-08	2.015060e+00	3.491833e-07	2.409891e-07	1.081942e-07
0.165         	7.839269e-08	1.988570e+00	3.930870e-07	2.749362e-07	1.181508e-07
0.17          	8.983317e-08	1.963602e+00	3.701618e-07	2.749141e-07	9.524774e-08
0.175         	1.007008e-07	1.940063e+00	2.865880e-07	2.439948e-07	4.259325e-08
0.18          	1.109553e-07	1.917821e+00	3.236207e-07	2.727656e-07	5.085508e-08
0.185         	1.205871e-07	1.896761e+00	3.305093e-07	2.858418e-07	4.466750e-08
0.19          	1.295965e-07	1.876812e+00	2.507457e-07	2.549693e-07	-4.223626e-09
0.195         	1.380163e-07	1.857904e+00	3.088313e-07	2.924319e-07	1.639932e-08
0.2           	1.458469e-07	1.839987e+00	2.034599e-07	2.475769e-07	-4.411692e-08
0.205         	1.530748e-07	1.822959e+00	3.080123e-07	3.070810e-07	9.313764e-10
0.21          	1.597406e-07	1.806764e+00	1.490097e-07	2.342454e-07	-8.523572e-08
0.215         	1.658608e-07	1.791352e+00	1.943848e-07	2.630532e-07	-6.866841e-08
0.22          	1.714974e-07	1.776688e+00	1.680262e-07	2.555105e-07	-8.748427e-08
0.225         	1.766638e-07	1.762713e+00	2.889173e-07	3.211224e-07	-3.220514e-08
0.23          	1.813751e-07	1.749429e+00	1.381970e-07	2.504737e-07	-1.122766e-07
0.235         	1.856371e-07	1.736747e+00	1.691150e-07	2.701946e-07	-1.010796e-07
0.24          	1.894890e-07	1.724623e+00	1.241339e-07	2.515560e-07	-1.274221e-07
0.245         	1.929653e-07	1.713050e+00	1.323772e-07	2.591539e-07	-1.267767e-07
0.25          	1.960964e-07	1.702012e+00	1.120288e-07	2.521108e-07	-1.400820e-07
0.255         	1.988874e-07	1.691462e+00	1.029405e-07	2.503577e-07	-1.474171e-07
0.26          	2.013594e-07	1.681377e+00	9.205119e-08	2.473850e-07	-1.553338e-07
0.265         	2.035432e-07	1.671790e+00	7.843219e-08	2.427593e-07	-1.643271e-07
0.27          	2.054656e-07	1.662539e+00	7.766523e-08	2.442982e-07	-1.666330e-07
0.275         	2.071669e-07	1.653710e+00	9.783198e-08	2.560829e-07	-1.582509e-07
0.28          	2.086431e-07	1.645261e+00	1.020378e-07	2.596620e-07	-1.576242e-07
0.285         	2.098949e-07	1.637192e+00	4.147098e-08	2.306303e-07	-1.891594e-07
0.29          	2.109300e-07	1.629452e+00	1.019537e-08	2.160277e-07	-2.058323e-07
0.295         	2.117735e-07	1.622059e+00	3.486750e-08	2.292073e-07	-1.943398e-07
0.3           	2.124263e-07	1.614967e+00	-2.198299e-08	2.014348e-07	-2.234178e-07
0.305         	2.129106e-07	1.608214e+00	1.538409e-08	2.206027e-07	-2.052186e-07
0.31          	2.132441e-07	1.601706e+00	-4.593857e-09	2.109472e-07	-2.155411e-07
0.315         	2.134679e-07	1.595477e+00	-5.530499e-09	2.107026e-07	-2.162331e-07
0.32          	2.135756e-07	1.589507e+00	-1.575238e-08	2.056994e-07	-2.214518e-07
0.325         	2.135757e-07	1.583781e+00	-2.562577e-08	2.007628e-07	-2.263886e-07
0.33          	2.134517e-07	1.578317e+00	-2.397050e-08	2.014665e-07	-2.254370e-07
0.335         	2.132174e-07	1.573089e+00	-1.911107e-08	2.036618e-07	-2.227729e-07
0.34          	2.128532e-07	1.568056e+00	-3.831476e-08	1.936958e-07	-2.320106e-07
0.345         	2.124842e-07	1.563243e+00	-4.588574e-08	1.895413e-07	-2.354270e-07
0.35          	2.120030e-07	1.558670e+00	-5.025395e-08	1.868760e-07	-2.371300e-07
0.355         	2.114293e-07	1.554258e+00	-5.046111e-08	1.861987e-07	-2.366598e-07
0.36          	2.107894e-07	1.550022e+00	-6.584277e-08	1.778680e-07	-2.437108e-07
0.365         	2.100836e-07	1.545994e+00	-7.296704e-08	1.736001e-07	-2.465671e-07
